symbol,security_id,name,exchange_segment
PINELABS,759820,Pine Labs Ltd.,NSE_EQ
PIRAMALFIN,759551,Piramal Finance Ltd.,NSE_EQ
PNB,10666,Punjab National Bank,NSE_EQ
PNBHOUSING,18908,PNB Housing Finance Ltd.,NSE_EQ
POLICYBZR,6656,PB Fintech Ltd.,NSE_EQ
POLYCAB,9590,Polycab India Ltd.,NSE_EQ
POLYMED,25718,Poly Medicure Ltd.,NSE_EQ
POONAWALLA,11403,Poonawalla Fincorp Ltd.,NSE_EQ
POWERGRID,14977,Power Grid Corporation of India Ltd.,NSE_EQ
POWERINDIA,18457,Hitachi Energy India Ltd.,NSE_EQ
PPLPHARMA,11571,Piramal Pharma Ltd.,NSE_EQ
PREMIERENE,25049,Premier Energies Ltd.,NSE_EQ
PRESTIGE,20302,Prestige Estates Projects Ltd.,NSE_EQ
PTCIL,16682,PTC Industries Ltd.,NSE_EQ
PVRINOX,13147,PVR INOX Ltd.,NSE_EQ
PWL,759723,Physicswallah Ltd.,NSE_EQ
RADICO,10990,Radico Khaitan Ltd,NSE_EQ
RAILTEL,2431,Railtel Corporation Of India Ltd.,NSE_EQ
RAINBOW,9408,Rainbow Childrens Medicare Ltd.,NSE_EQ
RAMCOCEM,2043,The Ramco Cements Ltd.,NSE_EQ
RBLBANK,18391,RBL Bank Ltd.,NSE_EQ
RECLTD,15355,REC Ltd.,NSE_EQ
REDINGTON,14255,Redington Ltd.,NSE_EQ
RELIANCE,2885,Reliance Industries Ltd.,NSE_EQ
RHIM,31163,RHI MAGNESITA INDIA LTD.,NSE_EQ
RITES,3761,RITES Ltd.,NSE_EQ
RKFORGE,11411,Ramkrishna Forgings Ltd.,NSE_EQ
RPOWER,15259,Reliance Power Ltd.,NSE_EQ
RRKABEL,18566,R R Kabel Ltd.,NSE_EQ
RVNL,9552,Rail Vikas Nigam Ltd.,NSE_EQ
SAGILITY,27052,Sagility Ltd.,NSE_EQ
SAIL,2963,Steel Authority of India Ltd.,NSE_EQ
SAILIFE,27839,Sai Life Sciences Ltd.,NSE_EQ
SAMMAANCAP,30125,Sammaan Capital Ltd.,NSE_EQ
SAPPHIRE,6718,Sapphire Foods India Ltd.,NSE_EQ
SARDAEN,17758,Sarda Energy and Minerals Ltd.,NSE_EQ
SAREGAMA,4892,Saregama India Ltd,NSE_EQ
SBFC,18026,SBFC Finance Ltd.,NSE_EQ
SBICARD,17971,SBI Cards and Payment Services Ltd.,NSE_EQ
SBILIFE,21808,SBI Life Insurance Company Ltd.,NSE_EQ
SBIN,3045,State Bank of India,NSE_EQ
SCHAEFFLER,1011,Schaeffler India Ltd.,NSE_EQ
SCHNEIDER,31234,Schneider Electric Infrastructure Ltd.,NSE_EQ
SCI,3048,Shipping Corporation of India Ltd.,NSE_EQ
SHREECEM,3103,Shree Cement Ltd.,NSE_EQ
SHRIRAMFIN,4306,Shriram Finance Ltd.,NSE_EQ
SHYAMMETL,4693,Shyam Metalics and Energy Ltd.,NSE_EQ
SIEMENS,3150,Siemens Ltd.,NSE_EQ
SIGNATURE,18743,Signatureglobal (India) Ltd.,NSE_EQ
SJVN,18883,SJVN Ltd.,NSE_EQ
SOBHA,13826,Sobha Ltd.,NSE_EQ
SOLARINDS,13332,Solar Industries India Ltd.,NSE_EQ
SONACOMS,4684,Sona BLW Precision Forgings Ltd.,NSE_EQ
SONATSOFTW,6596,Sonata Software Ltd.,NSE_EQ
SPLPETRO,9617,Supreme Petrochem Ltd.,NSE_EQ
SRF,3273,SRF Ltd.,NSE_EQ
STARHEALTH,7083,Star Health and Allied Insurance Company Ltd.,NSE_EQ
SUMICHEM,17105,Sumitomo Chemical India Ltd.,NSE_EQ
SUNDARMFIN,3339,Sundaram Finance Ltd.,NSE_EQ
